TIME,CHAN1,CHAN2
-0.0885,4.80e-01,-4.20e+00
-0.0883,2.40e-01,-4.20e+00
-0.0881,2.80e+00,-2.60e+00
-0.0879,2.80e+00,-2.40e+00
-0.0877,4.32e+00,-4.00e+00
-0.0875,3.52e+00,-3.80e+00
-0.0873,1.60e+00,-5.00e+00
-0.0871,2.00e+00,-4.20e+00
-0.0869,5.28e+00,-2.40e+00
-0.0867,5.28e+00,-2.40e+00
-0.0865,2.64e+00,-4.80e+00
-0.0863,2.24e+00,-4.60e+00
-0.0861,4.16e+00,-2.40e+00
-0.0859,4.24e+00,-2.20e+00
-0.0857,5.36e+00,-3.60e+00
-0.0855,4.32e+00,-3.40e+00
-0.0853,2.16e+00,-4.40e+00
-0.0851,2.48e+00,-3.80e+00
-0.0849,5.20e+00,-2.00e+00
-0.0847,5.20e+00,-2.20e+00
-0.0845,2.40e+00,-4.20e+00
-0.0843,2.00e+00,-4.20e+00
-0.0841,3.92e+00,-2.20e+00
-0.0839,3.92e+00,-1.80e+00
-0.0837,5.04e+00,-3.20e+00
-0.0835,4.00e+00,-3.00e+00
-0.0833,1.84e+00,-4.20e+00
-0.0831,2.08e+00,-3.40e+00
-0.0829,4.80e+00,-1.60e+00
-0.0827,4.88e+00,-1.80e+00
-0.0825,2.08e+00,-4.00e+00
-0.0823,1.68e+00,-4.00e+00
-0.0821,3.60e+00,-2.00e+00
-0.0819,3.52e+00,-1.40e+00
-0.0817,4.72e+00,-2.40e+00
-0.0815,3.76e+00,-2.80e+00
-0.0813,1.52e+00,-1.40e+00
-0.0811,1.76e+00,-1.80e+00
-0.0809,4.56e+00,6.00e-01
-0.0807,4.56e+00,6.00e-01
-0.0805,1.12e+00,-1.00e+00
-0.0803,4.80e-01,-1.00e+00
-0.0801,2.00e+00,1.80e+00
-0.0799,2.72e+00,2.20e+00
-0.0797,1.28e+00,1.20e+00
-0.0795,1.36e+00,8.00e-01
-0.0793,-1.52e+00,2.00e+00
-0.0791,-1.28e+00,1.80e+00
-0.0789,9.60e-01,4.00e+00
-0.0787,8.80e-01,4.00e+00
-0.0785,-2.40e+00,2.20e+00
-0.0783,-3.12e+00,2.20e+00
-0.0781,-1.60e+00,4.60e+00
-0.0779,-8.00e-01,5.00e+00
-0.0777,-2.08e+00,3.60e+00
-0.0775,-2.08e+00,3.80e+00
-0.0773,-4.56e+00,2.60e+00
-0.0771,-4.40e+00,3.40e+00
-0.0769,-1.92e+00,5.00e+00
-0.0767,-1.84e+00,4.80e+00
-0.0765,-4.72e+00,2.60e+00
-0.0763,-5.12e+00,2.60e+00
-0.0761,-3.12e+00,4.40e+00
-0.0759,-3.20e+00,5.00e+00
-0.0757,-1.84e+00,3.40e+00
-0.0755,-2.96e+00,3.40e+00
-0.0753,-5.04e+00,2.40e+00
-0.0751,-4.72e+00,2.80e+00
-0.0749,-1.84e+00,4.60e+00
-0.0747,-1.76e+00,4.40e+00
-0.0745,-4.48e+00,2.20e+00
-0.0743,-4.80e+00,2.20e+00
-0.0741,-2.80e+00,4.20e+00
-0.0739,-2.88e+00,4.40e+00
-0.0737,-1.60e+00,3.00e+00
-0.0735,-2.56e+00,3.00e+00
-0.0733,-4.72e+00,1.80e+00
-0.0731,-4.32e+00,2.60e+00
-0.0729,-1.44e+00,4.20e+00
-0.0727,-1.44e+00,4.00e+00
-0.0725,-4.16e+00,2.00e+00
-0.0723,-4.56e+00,2.00e+00
-0.0721,-2.48e+00,4.00e+00
-0.0719,-2.48e+00,4.20e+00
-0.0717,-1.28e+00,2.20e+00
-0.0715,-2.24e+00,2.00e+00
-0.0713,-4.40e+00,8.00e-01
-0.0711,-4.08e+00,1.00e+00
-0.0709,-1.20e+00,2.00e+00
-0.0707,-1.12e+00,1.80e+00
-0.0705,-3.12e+00,-1.20e+00
-0.0703,-3.28e+00,-1.40e+00
-0.0701,-8.00e-01,2.00e-01
-0.0699,-8.00e-01,4.00e-01
-0.0697,8.80e-01,-1.60e+00
-0.0695,1.60e-01,-1.20e+00
-0.0693,-1.36e+00,-3.00e+00
-0.0691,-8.00e-01,-2.60e+00
-0.0689,2.48e+00,-1.20e+00
-0.0687,2.56e+00,-1.40e+00
-0.0685,4.80e-01,-4.20e+00
-0.0683,1.60e-01,-4.20e+00
-0.0681,2.80e+00,-2.60e+00
-0.0679,2.72e+00,-2.40e+00
-0.0677,4.32e+00,-4.00e+00
-0.0675,3.44e+00,-3.60e+00
-0.0673,1.60e+00,-5.00e+00
-0.0671,2.08e+00,-4.20e+00
-0.0669,5.28e+00,-2.40e+00
-0.0667,5.36e+00,-2.40e+00
-0.0665,2.64e+00,-4.60e+00
-0.0663,2.24e+00,-4.60e+00
-0.0661,4.24e+00,-2.40e+00
-0.0659,4.16e+00,-2.20e+00
-0.0657,5.36e+00,-3.80e+00
-0.0655,4.32e+00,-3.60e+00
-0.0653,2.16e+00,-4.40e+00
-0.0651,2.48e+00,-4.00e+00
-0.0649,5.20e+00,-2.00e+00
-0.0647,5.28e+00,-2.20e+00
-0.0645,2.40e+00,-4.20e+00
-0.0643,2.00e+00,-4.20e+00
-0.0641,3.92e+00,-2.20e+00
-0.0639,3.84e+00,-1.60e+00
-0.0637,5.04e+00,-3.20e+00
-0.0635,4.00e+00,-2.80e+00
-0.0633,1.84e+00,-4.20e+00
-0.0631,2.08e+00,-3.60e+00
-0.0629,4.88e+00,-1.60e+00
-0.0627,4.88e+00,-1.80e+00
-0.0625,2.00e+00,-4.00e+00
-0.0623,1.60e+00,-4.00e+00
-0.0621,3.52e+00,-1.80e+00
-0.0619,3.44e+00,-1.40e+00
-0.0617,4.64e+00,-2.40e+00
-0.0615,3.68e+00,-2.80e+00
-0.0613,1.52e+00,-1.40e+00
-0.0611,1.76e+00,-1.80e+00
-0.0609,4.48e+00,6.00e-01
-0.0607,4.56e+00,6.00e-01
-0.0605,1.12e+00,-1.00e+00
-0.0603,4.80e-01,-6.00e-01
-0.0601,1.84e+00,1.80e+00
-0.0599,2.72e+00,2.40e+00
-0.0597,1.28e+00,1.20e+00
-0.0595,1.20e+00,8.00e-01
-0.0593,-1.52e+00,2.00e+00
-0.0591,-1.28e+00,1.80e+00
-0.0589,8.80e-01,4.00e+00
-0.0587,8.80e-01,4.00e+00
-0.0585,-2.48e+00,2.20e+00
-0.0583,-3.12e+00,2.20e+00
-0.0581,-1.60e+00,4.60e+00
-0.0579,-8.00e-01,5.20e+00
-0.0577,-2.16e+00,3.60e+00
-0.0575,-2.08e+00,3.80e+00
-0.0573,-4.48e+00,2.60e+00
-0.0571,-4.40e+00,3.40e+00
-0.0569,-1.84e+00,5.00e+00
-0.0567,-1.92e+00,4.80e+00
-0.0565,-4.72e+00,2.60e+00
-0.0563,-5.12e+00,2.60e+00
-0.0561,-3.12e+00,4.40e+00
-0.0559,-3.20e+00,4.80e+00
-0.0557,-1.92e+00,3.40e+00
-0.0555,-2.96e+00,3.40e+00
-0.0553,-5.04e+00,2.40e+00
-0.0551,-4.72e+00,2.80e+00
-0.0549,-1.76e+00,4.60e+00
-0.0547,-1.76e+00,4.40e+00
-0.0545,-4.48e+00,2.20e+00
-0.0543,-4.80e+00,2.20e+00
-0.0541,-2.80e+00,4.20e+00
-0.0539,-2.80e+00,4.40e+00
-0.0537,-1.60e+00,3.00e+00
-0.0535,-2.64e+00,3.20e+00
-0.0533,-4.64e+00,2.00e+00
-0.0531,-4.32e+00,2.60e+00
-0.0529,-1.44e+00,4.20e+00
-0.0527,-1.44e+00,4.20e+00
-0.0525,-4.16e+00,2.00e+00
-0.0523,-4.56e+00,1.80e+00
-0.0521,-2.48e+00,3.80e+00
-0.0519,-2.56e+00,4.20e+00
-0.0517,-1.28e+00,2.20e+00
-0.0515,-2.24e+00,2.20e+00
-0.0513,-4.32e+00,8.00e-01
-0.0511,-4.08e+00,1.00e+00
-0.0509,-1.20e+00,2.00e+00
-0.0507,-1.20e+00,1.80e+00
-0.0505,-3.12e+00,-1.20e+00
-0.0503,-3.28e+00,-1.40e+00
-0.0501,-8.00e-01,2.00e-01
-0.0499,-8.00e-01,4.00e-01
-0.0497,8.80e-01,-1.60e+00
-0.0495,1.60e-01,-1.20e+00
-0.0493,-1.36e+00,-3.00e+00
-0.0491,-8.80e-01,-2.60e+00
-0.0489,2.48e+00,-1.20e+00
-0.0487,2.56e+00,-1.60e+00
-0.0485,4.00e-01,-4.20e+00
-0.0483,2.40e-01,-4.40e+00
-0.0481,2.88e+00,-2.60e+00
-0.0479,2.80e+00,-2.40e+00
-0.0477,4.32e+00,-4.00e+00
-0.0475,3.52e+00,-3.80e+00
-0.0473,1.60e+00,-4.80e+00
-0.0471,2.08e+00,-4.20e+00
-0.0469,5.28e+00,-2.40e+00
-0.0467,5.36e+00,-2.40e+00
-0.0465,2.64e+00,-4.60e+00
-0.0463,2.24e+00,-4.60e+00
-0.0461,4.24e+00,-2.40e+00
-0.0459,4.16e+00,-2.20e+00
-0.0457,5.36e+00,-3.60e+00
-0.0455,4.32e+00,-3.40e+00
-0.0453,2.16e+00,-4.40e+00
-0.0451,2.32e+00,-3.80e+00
-0.0449,5.20e+00,-2.00e+00
-0.0447,5.20e+00,-2.20e+00
-0.0445,2.40e+00,-4.20e+00
-0.0443,2.00e+00,-4.20e+00
-0.0441,3.92e+00,-2.20e+00
-0.0439,3.84e+00,-1.60e+00
-0.0437,5.04e+00,-3.20e+00
-0.0435,4.00e+00,-3.00e+00
-0.0433,1.84e+00,-4.20e+00
-0.0431,2.16e+00,-3.40e+00
-0.0429,4.88e+00,-1.60e+00
-0.0427,4.88e+00,-1.60e+00
-0.0425,2.08e+00,-4.00e+00
-0.0423,1.68e+00,-4.00e+00
-0.0421,3.60e+00,-1.80e+00
-0.0419,3.52e+00,-1.40e+00
-0.0417,4.72e+00,-2.40e+00
-0.0415,3.68e+00,-2.80e+00
-0.0413,1.52e+00,-1.60e+00
-0.0411,1.76e+00,-1.80e+00
-0.0409,4.56e+00,6.00e-01
-0.0407,4.56e+00,6.00e-01
-0.0405,1.04e+00,-1.00e+00
-0.0403,4.80e-01,-6.00e-01
-0.0401,1.84e+00,1.80e+00
-0.0399,2.72e+00,2.40e+00
-0.0397,1.20e+00,1.20e+00
-0.0395,1.20e+00,8.00e-01
-0.0393,-1.52e+00,2.00e+00
-0.0391,-1.44e+00,1.80e+00
-0.0389,8.80e-01,4.20e+00
-0.0387,8.80e-01,4.00e+00
-0.0385,-2.48e+00,2.20e+00
-0.0383,-3.12e+00,2.20e+00
-0.0381,-1.60e+00,4.60e+00
-0.0379,-8.00e-01,5.00e+00
-0.0377,-2.08e+00,3.60e+00
-0.0375,-2.08e+00,3.80e+00
-0.0373,-4.48e+00,2.60e+00
-0.0371,-4.32e+00,3.40e+00
-0.0369,-1.84e+00,5.00e+00
-0.0367,-1.92e+00,4.80e+00
-0.0365,-4.72e+00,2.60e+00
-0.0363,-5.12e+00,2.60e+00
-0.0361,-3.04e+00,4.60e+00
-0.0359,-3.20e+00,5.00e+00
-0.0357,-1.92e+00,3.40e+00
-0.0355,-2.96e+00,3.40e+00
-0.0353,-5.04e+00,2.40e+00
-0.0351,-4.72e+00,3.00e+00
-0.0349,-1.76e+00,4.60e+00
-0.0347,-1.76e+00,4.40e+00
-0.0345,-4.40e+00,2.20e+00
-0.0343,-4.80e+00,2.20e+00
-0.0341,-2.80e+00,4.20e+00
-0.0339,-2.88e+00,4.40e+00
-0.0337,-1.60e+00,2.80e+00
-0.0335,-2.64e+00,3.20e+00
-0.0333,-4.64e+00,2.00e+00
-0.0331,-4.40e+00,2.60e+00
-0.0329,-1.44e+00,4.20e+00
-0.0327,-1.44e+00,4.20e+00
-0.0325,-4.16e+00,2.00e+00
-0.0323,-4.56e+00,2.00e+00
-0.0321,-2.40e+00,4.00e+00
-0.0319,-2.56e+00,4.20e+00
-0.0317,-1.28e+00,2.00e+00
-0.0315,-2.24e+00,2.20e+00
-0.0313,-4.40e+00,8.00e-01
-0.0311,-4.08e+00,1.00e+00
-0.0309,-1.20e+00,2.00e+00
-0.0307,-1.12e+00,1.80e+00
-0.0305,-3.12e+00,-1.20e+00
-0.0303,-3.28e+00,-1.40e+00
-0.0301,-7.20e-01,2.00e-01
-0.0299,-7.20e-01,4.00e-01
-0.0297,8.80e-01,-1.60e+00
-0.0295,1.60e-01,-1.20e+00
-0.0293,-1.36e+00,-3.00e+00
-0.0291,-8.00e-01,-2.80e+00
-0.0289,2.48e+00,-1.40e+00
-0.0287,2.56e+00,-1.60e+00
-0.0285,4.00e-01,-4.20e+00
-0.0283,3.20e-01,-4.20e+00
-0.0281,2.80e+00,-2.60e+00
-0.0279,2.80e+00,-2.40e+00
-0.0277,4.32e+00,-4.00e+00
-0.0275,3.52e+00,-3.60e+00
-0.0273,1.68e+00,-5.00e+00
-0.0271,2.00e+00,-4.20e+00
-0.0269,5.28e+00,-2.40e+00
-0.0267,5.28e+00,-2.40e+00
-0.0265,2.56e+00,-4.60e+00
-0.0263,2.24e+00,-4.60e+00
-0.0261,4.24e+00,-2.40e+00
-0.0259,4.16e+00,-2.20e+00
-0.0257,5.36e+00,-3.80e+00
-0.0255,4.40e+00,-3.40e+00
-0.0253,2.16e+00,-4.40e+00
-0.0251,2.32e+00,-3.80e+00
-0.0249,5.28e+00,-2.00e+00
-0.0247,5.28e+00,-2.20e+00
-0.0245,2.32e+00,-4.20e+00
-0.0243,2.00e+00,-4.20e+00
-0.0241,3.92e+00,-2.20e+00
-0.0239,3.76e+00,-1.60e+00
-0.0237,5.04e+00,-3.20e+00
-0.0235,4.00e+00,-2.80e+00
-0.0233,1.84e+00,-4.20e+00
-0.0231,2.08e+00,-3.60e+00
-0.0229,4.80e+00,-1.60e+00
-0.0227,4.80e+00,-1.80e+00
-0.0225,2.08e+00,-4.00e+00
-0.0223,1.60e+00,-4.00e+00
-0.0221,3.60e+00,-1.80e+00
-0.0219,3.60e+00,-1.40e+00
-0.0217,4.72e+00,-2.40e+00
-0.0215,3.76e+00,-2.80e+00
-0.0213,1.52e+00,-1.40e+00
-0.0211,1.76e+00,-1.80e+00
-0.0209,4.56e+00,6.00e-01
-0.0207,4.56e+00,6.00e-01
-0.0205,1.12e+00,-1.00e+00
-0.0203,4.00e-01,-6.00e-01
-0.0201,1.84e+00,1.80e+00
-0.0199,2.72e+00,2.40e+00
-0.0197,1.20e+00,1.20e+00
-0.0195,1.28e+00,8.00e-01
